contour_id,point_id,u,v
132,1,-0.107277,0.400363
133,0,-0.0897113,0.404661
133,1,-0.0940785,0.403593
134,0,-0.0763845,0.407312
134,1,-0.0897113,0.404661
135,0,-0.0719748,0.408189
135,1,-0.0763845,0.407312
136,0,-0.0585451,0.410256
136,1,-0.0719748,0.408189
137,0,-0.0541013,0.41094
137,1,-0.0585451,0.410256
138,0,-0.0405942,0.41242
138,1,-0.0541013,0.41094
139,0,-0.0361249,0.412909
139,1,-0.0405942,0.41242
140,0,-0.0225661,0.413798
140,1,-0.0361249,0.412909
141,0,-0.0180796,0.414092
141,1,-0.0225661,0.413798
142,0,-0.00449501,0.414388
142,1,-0.0180796,0.414092
143,0,-4.50176e-17,0.414486
143,1,-0.00449501,0.414388
144,0,0.0135846,0.41419
144,1,-4.50176e-17,0.414486
145,0,0.0180796,0.414092
145,1,0.0135846,0.41419
146,0,0.0316384,0.413203
146,1,0.0180796,0.414092
147,0,0.0361249,0.412909
147,1,0.0316384,0.413203
148,0,0.049632,0.41143
148,1,0.0361249,0.412909
149,0,0.0541013,0.41094
149,1,0.049632,0.41143
150,0,0.067531,0.408873
150,1,0.0541013,0.41094
151,0,0.0719748,0.408189
151,1,0.067531,0.408873
152,0,0.0853016,0.405538
152,1,0.0719748,0.408189
153,0,0.0897113,0.404661
153,1,0.0853016,0.405538
154,0,0.10291,0.401432
154,1,0.0897113,0.404661
155,0,0.107277,0.400363
155,1,0.10291,0.401432
156,0,0.120322,0.396561
156,1,0.107277,0.400363
157,0,0.124638,0.395303
157,1,0.120322,0.396561
158,0,0.137505,0.390935
158,1,0.124638,0.395303
159,0,0.141763,0.38949
159,1,0.137505,0.390935
160,0,0.154427,0.384565
160,1,0.141763,0.38949
161,0,0.158617,0.382935
161,1,0.154427,0.384565
162,0,0.171054,0.377463
162,1,0.158617,0.382935
163,0,0.175169,0.375652
163,1,0.171054,0.377463
164,0,0.187356,0.369642
164,1,0.175169,0.375652
165,0,0.191388,0.367654
165,1,0.187356,0.369642
166,0,0.203301,0.361118
166,1,0.191388,0.367654
167,0,0.207243,0.358956
167,1,0.203301,0.361118
168,0,0.21886,0.351907
168,1,0.207243,0.358956
169,0,0.222703,0.349574
169,1,0.21886,0.351907
170,0,0.234001,0.342025
170,1,0.222703,0.349574
171,0,0.23774,0.339527
171,1,0.234001,0.342025
172,0,0.248697,0.331493
172,1,0.23774,0.339527
173,0,0.252323,0.328834
173,1,0.248697,0.331493
174,0,0.26292,0.320329
174,1,0.252323,0.328834
175,0,0.266427,0.317515
175,1,0.26292,0.320329
176,0,0.276643,0.308556
176,1,0.266427,0.317515
177,0,0.280023,0.305591
177,1,0.276643,0.308556
178,0,0.289838,0.296195
178,1,0.280023,0.305591
179,0,0.293086,0.293086
179,1,0.289838,0.296195
180,0,0.302482,0.283271
180,1,0.293086,0.293086
181,0,0.305591,0.280023
181,1,0.302482,0.283271
182,0,0.31455,0.269807
182,1,0.305591,0.280023
183,0,0.317515,0.266427
183,1,0.31455,0.269807
184,0,0.32602,0.25583
184,1,0.317515,0.266427
185,0,0.328834,0.252323
185,1,0.32602,0.25583
186,0,0.336869,0.241365
186,1,0.328834,0.252323
187,0,0.339527,0.23774
187,1,0.336869,0.241365
188,0,0.347076,0.226442
188,1,0.339527,0.23774
189,0,0.349574,0.222703
189,1,0.347076,0.226442
190,0,0.356623,0.211087
190,1,0.349574,0.222703
191,0,0.358956,0.207243
191,1,0.356623,0.211087
192,0,0.365491,0.19533
192,1,0.358956,0.207243
193,0,0.367654,0.191388
193,1,0.365491,0.19533
194,0,0.373664,0.179202
194,1,0.367654,0.191388
195,0,0.375652,0.175169
195,1,0.373664,0.179202
196,0,0.381125,0.162732
196,1,0.375652,0.175169
197,0,0.382935,0.158617
197,1,0.381125,0.162732
198,0,0.38786,0.145953
198,1,0.382935,0.158617
199,0,0.38949,0.141763
199,1,0.38786,0.145953
200,0,0.393857,0.128896
200,1,0.38949,0.141763
201,0,0.395303,0.124638
201,1,0.393857,0.128896
202,0,0.399105,0.111593
202,1,0.395303,0.124638
203,0,0.400363,0.107277
203,1,0.399105,0.111593
204,0,0.403593,0.0940785
204,1,0.400363,0.107277
205,0,0.404661,0.0897113
205,1,0.403593,0.0940785
206,0,0.407312,0.0763845
206,1,0.404661,0.0897113
207,0,0.408189,0.0719748
207,1,0.407312,0.0763845
208,0,0.410256,0.0585451
208,1,0.408189,0.0719748
209,0,0.41094,0.0541013
209,1,0.410256,0.0585451
210,0,0.41242,0.0405942
210,1,0.41094,0.0541013
211,0,0.412909,0.0361249
211,1,0.41242,0.0405942
212,0,0.413798,0.0225661
212,1,0.412909,0.0361249
213,0,0.414092,0.0180796
213,1,0.413798,0.0225661
214,0,0.414388,0.00449501
214,1,0.414092,0.0180796
215,0,0.414486,4.70679e-17
215,1,0.414388,0.00449501
216,0,0.41419,-0.0135846
216,1,0.414486,4.70679e-17
217,0,0.414092,-0.0180796
217,1,0.41419,-0.0135846
218,0,0.413203,-0.0316384
218,1,0.414092,-0.0180796
219,0,0.412909,-0.0361249
219,1,0.413203,-0.0316384
220,0,0.41143,-0.049632
220,1,0.412909,-0.0361249
221,0,0.41094,-0.0541013
221,1,0.41143,-0.049632
222,0,0.408873,-0.067531
222,1,0.41094,-0.0541013
223,0,0.408189,-0.0719748
223,1,0.408873,-0.067531
224,0,0.405538,-0.0853016
224,1,0.408189,-0.0719748
225,0,0.404661,-0.0897113
225,1,0.405538,-0.0853016
226,0,0.401432,-0.10291
226,1,0.404661,-0.0897113
227,0,0.400363,-0.107277
227,1,0.401432,-0.10291
228,0,0.396561,-0.120322
228,1,0.400363,-0.107277
